שם ישוב,סוג הישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס,Multiplier (85% turnout),מצביעים,פסולים,כשרים,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס,% Arab parties
אבטליון,האיחוד החקלאי,1275,305,230,1,229,35,0,0,3,10,0,0,0,0,1,0,0,0,0,5,0,1,17,16,12,0,0,0,6,0,0,0,122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,230,1,229,35,0,0,3,10,0,0,0,0,1,0,0,0,0,5,0,1,17,16,12,0,0,0,6,0,0,0,122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.30%
חיפה,עיר מעורבת,4000,247866,145606,1028,144578,8127,5210,1464,7319,3346,46,5,0,55,3016,36,26,21,8,7310,17,10553,34217,6792,3320,79,0,74,2370,296,10,13,47261,33,25,12,11,16,188,36,0,15,173,35,15,41,56,2931,,157977,1241,156735,8517,5257,2573,11698,3462,47,5,0,58,3100,37,31,33,12,7617,27,11445,35571,7814,3387,87,0,82,2427,321,11,16,49316,35,36,15,14,18,204,49,0,26,188,39,19,51,91,3035,6.03%
ירושלים,עיר מעורבת,3000,410258,262100,2054,260046,7764,60632,407,1740,6946,49,11,0,83,17662,38,46,10,9,5203,10,4054,64378,8430,11599,27,0,75,3933,87,12,11,30576,50,24,17,14,41,73,21,0,13,105,20,12,44,48,35772,,269765,2139,267626,7874,60685,1050,5008,6989,49,17,0,83,18295,50,46,10,9,5277,21,4078,64800,9630,11678,27,0,80,3952,92,28,19,31274,54,32,17,20,61,81,38,0,13,123,20,18,44,195,35785,0.82%
לוד,עיר מעורבת,7000,54846,30790,314,30476,523,342,1136,2198,933,7,1,0,31,1863,14,4,2,5,1425,9,2970,11388,456,965,7,0,31,317,73,10,46,3757,13,2,9,7,8,29,6,0,4,44,5,12,15,21,1788,,36573,437,36134,602,345,2578,4645,967,10,1,0,34,1981,16,4,3,10,1463,11,3076,11843,727,1039,11,0,77,331,90,16,48,4075,21,4,16,11,12,46,11,0,10,55,7,14,27,32,1864,10.83%
מעלות-תרשיחא,עיר מעורבת,1063,17972,10666,104,10562,181,95,556,928,368,2,1,0,3,522,11,5,1,2,342,2,1756,3211,336,198,3,0,40,101,45,1,2,1201,0,2,1,0,3,7,1,0,1,14,4,1,2,78,535,,11881,120,11761,198,95,883,1475,368,2,1,0,3,523,17,5,2,4,352,4,1759,3223,476,200,3,0,62,101,45,2,2,1257,0,2,1,0,3,9,1,0,2,14,4,2,2,121,544,13.91%
נצרת עילית,עיר מעורבת,1061,39282,21677,376,21301,444,342,486,2779,805,4,3,0,10,581,4,0,17,1,618,3,4426,6373,617,202,20,0,25,173,78,2,2,2832,5,7,12,0,4,23,6,0,0,34,4,6,19,30,304,,24186,422,23767,488,354,596,3543,853,4,3,0,11,635,5,0,21,1,666,3,4754,6903,748,221,23,0,28,192,78,2,3,3146,5,8,13,0,5,25,7,0,0,37,5,6,20,32,326,15.06%
עכו,עיר מעורבת,7600,41584,24254,330,23924,347,119,2305,2592,505,5,0,0,19,461,3,2,2,4,664,3,2327,9309,466,305,12,0,10,292,48,5,5,2465,4,11,8,5,2,36,2,0,2,28,6,18,9,26,1492,,29093,453,28639,413,127,3831,4148,530,5,0,0,22,490,3,2,2,7,700,3,2590,9805,675,337,14,0,16,304,57,6,7,2829,4,17,12,5,2,47,2,0,4,36,10,27,12,36,1513,20.19%
רמלה,עיר מעורבת,8500,55296,32557,454,32103,588,208,1362,1756,837,10,6,0,40,593,12,0,2,4,1502,11,1363,15242,609,457,9,0,13,400,41,3,5,3938,12,3,7,8,9,31,7,0,7,29,9,15,23,17,2915,,36501,531,35969,636,218,2581,2857,859,12,6,0,42,639,14,0,4,5,1552,15,1441,15739,850,476,12,0,17,413,45,4,9,4301,16,4,8,9,9,37,12,0,11,37,12,21,26,22,2997,9.58%
תל אביב - יפו,עיר מעורבת,5000,426398,268752,1195,267557,22794,2397,1823,4375,5367,128,4,0,109,2899,103,8,5,28,6482,21,3687,51593,24027,5251,38,0,90,4760,123,11,6,122229,51,29,33,20,18,121,34,0,10,206,29,24,27,36,8561,,274784,1280,273504,23195,2408,2641,5772,5426,131,4,0,115,2945,106,11,6,32,6550,23,3795,52099,24725,5283,42,0,91,4805,130,12,8,123850,53,36,34,22,21,132,35,0,13,215,30,27,32,44,8615,2.31%
אבו ג'ווייעד (שבט),ערבי,967,1915,275,5,270,5,0,175,13,1,0,0,0,0,0,0,0,1,0,1,1,0,2,10,3,0,0,1,0,0,0,0,50,1,2,0,0,1,0,0,0,0,0,2,1,0,0,0,5.9191,1628,30,1598,30,0,1036,77,6,0,0,0,0,0,0,0,6,0,6,6,0,12,59,18,0,0,6,0,0,0,0,296,6,12,0,0,6,0,0,0,0,0,12,6,0,0,0,68.36%
